rank,channel_id,channel_name,channel_url,subscribers,video_count,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,generated_at_utc
11,UCSYUI0C0gG-Kp03GBaO2G9Q,Financial Faiz,https://www.youtube.com/channel/UCSYUI0C0gG-Kp03GBaO2G9Q,368000,1522,MY,other,PD3SC1em6T0,"[S03:E40] Cabaran sebenar nak sambung belajar di Malaysia - Ibrahim Sani, CEO Yayasan Peneraju",https://i.ytimg.com/vi/PD3SC1em6T0/mqdefault.jpg,2025-10-05T23:00:11Z,4717,2025-10-06T09:36:02Z
12,UC7h4tUtdH0L06sDZVmBMc4Q,The Good Company KE,https://www.youtube.com/channel/UC7h4tUtdH0L06sDZVmBMc4Q,336000,1301,KE,other,dbsM70jYqeA,"Death, Taxes and Set Pieces - The Wildcard Podcast",https://i.ytimg.com/vi/dbsM70jYqeA/mqdefault.jpg,2025-10-01T07:00:07Z,2069,2025-10-06T09:36:02Z
13,UChQXn6sL9ENIpA74qqPG1HA,3MenArmy Kenya,https://www.youtube.com/channel/UChQXn6sL9ENIpA74qqPG1HA,293000,895,KE,other,d4nNAmaLHNk,The97sPodcast Episode 11  - WiFi C0NNecTioN,https://i.ytimg.com/vi/d4nNAmaLHNk/mqdefault.jpg,2025-09-29T16:45:06Z,3850,2025-10-06T09:36:02Z
14,UCsURxs8Kz_qzezpicj-STyw,Capital FM Kenya,https://www.youtube.com/channel/UCsURxs8Kz_qzezpicj-STyw,277000,7923,KE,other,P2ODX1x9Yjs,Capital in the Morning: TRANSFORMING LEADERSHIP FOR A DISRUPTIVE ERA,https://i.ytimg.com/vi/P2ODX1x9Yjs/mqdefault.jpg,2025-10-06T04:48:56Z,818,2025-10-06T09:36:02Z
15,UCSVT1XTcae5Flp94OODu4mw,The Obinnaz,https://www.youtube.com/channel/UCSVT1XTcae5Flp94OODu4mw,226000,1329,KE,other,kEIKUiV7GmM,"THE OBINNAZ | Ada, Leurone & Briana Grade 9 Graduation | Dance, Gifts & Celebration!",https://i.ytimg.com/vi/kEIKUiV7GmM/mqdefault.jpg,2025-10-05T15:00:06Z,3084,2025-10-06T09:36:02Z
16,UC0kFUQNwtbKJlfzTfj4x4YQ,SpiceFM,https://www.youtube.com/channel/UC0kFUQNwtbKJlfzTfj4x4YQ,217000,7427,KE,other,lNygj9kOiUk,James Oswago | Sovereignty of the People Starts with Voter Registration,https://i.ytimg.com/vi/lNygj9kOiUk/mqdefault.jpg,2025-10-06T08:12:39Z,3091,2025-10-06T09:36:02Z
17,UC5h4-WH0LAV4CWs380yM33A,Iko Nini Podcast,https://www.youtube.com/channel/UC5h4-WH0LAV4CWs380yM33A,212000,4586,KE,podcast,oTQW1vGU1l4,Kenya’s Abduction Crisis: Who’s Lying and Who’s Telling the Truth?,https://i.ytimg.com/vi/oTQW1vGU1l4/mqdefault.jpg,2025-10-05T07:00:55Z,3645,2025-10-06T09:36:02Z
18,UCD-Mf4F5ZQ1Jw-nb2gqD1mw,Engage Talk,https://www.youtube.com/channel/UCD-Mf4F5ZQ1Jw-nb2gqD1mw,211000,936,KE,other,rKcpswu6A2E,Lessons From Rock Bottom -   Paul Murunga (Pablo),https://i.ytimg.com/vi/rKcpswu6A2E/mqdefault.jpg,2025-10-02T10:31:10Z,1806,2025-10-06T09:36:02Z
19,UCn6KuzOF0Yp6RyFo-f7ybrQ,KENYA 360 NEWS,https://www.youtube.com/channel/UCn6KuzOF0Yp6RyFo-f7ybrQ,201000,1480,KE,other,PttyNPSKabQ,LAST VIDEO OGA OBINNA AND SHALKIDO SHOT BEFORE INVOLVE IN SERIOUS ROAD ACCIDENT ,https://i.ytimg.com/vi/PttyNPSKabQ/mqdefault.jpg,2025-10-06T09:17:41Z,671,2025-10-06T09:36:02Z
20,UCFFImqk3FPSvKWBoturxJ7g,Evans From Kenya COMMENTARIES,https://www.youtube.com/channel/UCFFImqk3FPSvKWBoturxJ7g,153000,963,KE,other,RbK426gsb-k,Arab SCHOLAR CALLS OUT  the West & Trump  & WARNS Blacks & Muslims of America's doom.,https://i.ytimg.com/vi/RbK426gsb-k/mqdefault.jpg,2025-10-04T19:45:58Z,2326,2025-10-06T09:36:02Z
21,UC6fVFxrbf0HDRW3B2mdWFGA,TMI Podcast KE,https://www.youtube.com/channel/UC6fVFxrbf0HDRW3B2mdWFGA,147000,414,KE,podcast,Nc6vXxFVF9I,Unspoken rules of Situationships | Episode 195,https://i.ytimg.com/vi/Nc6vXxFVF9I/mqdefault.jpg,2025-09-24T09:00:39Z,3403,2025-10-06T09:36:02Z
22,UCE3KVkSH1GwUtAAMcVcJ3QQ,UpSyd Digital Networks,https://www.youtube.com/channel/UCE3KVkSH1GwUtAAMcVcJ3QQ,134000,785,KE,other,rwkhL677W4s,MIC CHEQUE PODCAST | Episode 296 | I'm so spinal cord Feat. ABBAS KUBAFF,https://i.ytimg.com/vi/rwkhL677W4s/mqdefault.jpg,2025-10-05T06:00:07Z,8991,2025-10-06T09:36:02Z
23,UCaWu4TkcsWcZbw0Pg26OltQ,CTRL Z,https://www.youtube.com/channel/UCaWu4TkcsWcZbw0Pg26OltQ,106000,960,KE,other,X_HVxQzJb88,This Guy got Rizzz 🔥😂,https://i.ytimg.com/vi/X_HVxQzJb88/mqdefault.jpg,2025-10-03T05:52:57Z,752,2025-10-06T09:36:02Z
24,UCrxSe4ecTNMqjB23JafageA,The Kenyan American Home,https://www.youtube.com/channel/UCrxSe4ecTNMqjB23JafageA,91600,738,US,other,9tN5vOtzxng,Tuesday Check in 32,https://i.ytimg.com/vi/9tN5vOtzxng/mqdefault.jpg,2025-10-01T07:51:05Z,4628,2025-10-06T09:36:02Z
25,UCXuseB7juWB7DIgTJcwtHFQ,Parliament of Kenya,https://www.youtube.com/channel/UCXuseB7juWB7DIgTJcwtHFQ,87500,2160,KE,other,I0t1UWJHXVg,"The Senate Plenary, Thursday, October 2nd , 2025 Afternoon Session",https://i.ytimg.com/vi/I0t1UWJHXVg/mqdefault.jpg,2025-10-03T02:17:23Z,9480,2025-10-06T09:36:02Z
26,UCCjULCQvh2cQQLzYe4DC2Nw,The Joy Ride,https://www.youtube.com/channel/UCCjULCQvh2cQQLzYe4DC2Nw,79300,237,,other,jtbtvumQ5WA,SSN 8 EP 5 || THE LITTLE THINGS THAT MATTER,https://i.ytimg.com/vi/jtbtvumQ5WA/mqdefault.jpg,2025-10-02T07:00:06Z,3529,2025-10-06T09:36:02Z
27,UCE0YXdRyT9WC96KZfn7C9mQ,Ramogi TV Kenya,https://www.youtube.com/channel/UCE0YXdRyT9WC96KZfn7C9mQ,77100,28055,KE,other,S4ePyeYm-HU,LIVE| Dhialo Jopuonj|Opollo K'opollo| #MbakaOromo |06/ 10/2025,https://i.ytimg.com/vi/S4ePyeYm-HU/mqdefault.jpg,2025-10-06T07:55:40Z,2545,2025-10-06T09:36:02Z
28,UCZBH2CcL2t7Puh89TshvZzQ,Mekenze Limiri,https://www.youtube.com/channel/UCZBH2CcL2t7Puh89TshvZzQ,59500,378,KE,other,zDwXcWxDTaU,Building a Coffee Delivery Biz with My Sis || KENYA + USA || Updates from Utah || VLOG ,https://i.ytimg.com/vi/zDwXcWxDTaU/mqdefault.jpg,2025-10-02T15:35:29Z,1137,2025-10-06T09:36:02Z
29,UCjSpvbZM2B9dzDDq2caHTeQ,Corporate Staffing Services Kenya,https://www.youtube.com/channel/UCjSpvbZM2B9dzDDq2caHTeQ,54300,435,KE,interview,w0a3NYpC94g,Why You Fail Panel Interviews and How to Turn Them into Job Offers,https://i.ytimg.com/vi/w0a3NYpC94g/mqdefault.jpg,2025-08-11T07:04:37Z,668,2025-10-06T09:36:02Z
30,UCM0AhEzSsjf61sJntWDxcEg,The Dating Stories,https://www.youtube.com/channel/UCM0AhEzSsjf61sJntWDxcEg,53800,162,KE,podcast,2Gc0RxO-WTQ,I Found Another Woman in Our Bed And I Still Forgave Him | The Dating Stories Sharon Ndunge,https://i.ytimg.com/vi/2Gc0RxO-WTQ/mqdefault.jpg,2025-10-05T17:00:06Z,4614,2025-10-06T09:36:02Z
31,UClJq8G6FjEeXyMH6UgimnLw,Hope TV Kenya,https://www.youtube.com/channel/UClJq8G6FjEeXyMH6UgimnLw,52800,17307,KE,other,ia3hHlkpEUM,Perspectives of Leadership (part 13) Dr. David Oginde,https://i.ytimg.com/vi/ia3hHlkpEUM/mqdefault_live.jpg,2025-10-06T08:18:57Z,,2025-10-06T09:36:02Z
32,UCmBQsChFjOTcqv7D6sT8dPw,ManTalk Ke,https://www.youtube.com/channel/UCmBQsChFjOTcqv7D6sT8dPw,50800,272,,other,Atn0PvUVM_E,WHAT'S REALLY HAPPENING TO YOUR TESTORONE?,https://i.ytimg.com/vi/Atn0PvUVM_E/mqdefault.jpg,2025-08-07T15:00:43Z,4467,2025-10-06T09:36:02Z
